Year,County,PDI,PDIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2005,_STATEWIDE,9,Low Birth Weight (<2500 grams),"30,022","542,079",55.4,55.4,,,,,,
2006,_STATEWIDE,9,Low Birth Weight (<2500 grams),"30,722","554,385",55.4,55.4,,,,,,
2007,_STATEWIDE,9,Low Birth Weight (<2500 grams),"30,919","558,242",55.4,55.4,,,,,,
2008,_STATEWIDE,9,Low Birth Weight (<2500 grams),"30,066","542,796",55.4,55.4,,,,,,
2009,_STATEWIDE,9,Low Birth Weight (<2500 grams),"29,062","518,146",56.1,56.1,,,,,,
2010,_STATEWIDE,9,Low Birth Weight (<2500 grams),"28,358","501,136",56.6,56.6,,,,,,
2011,_STATEWIDE,9,Low Birth Weight (<2500 grams),"28,365","493,750",57.4,57.5,,,,,,
2012,_STATEWIDE,9,Low Birth Weight (<2500 grams),"28,101","495,838",56.7,56.7,,,,,,
2013,_STATEWIDE,9,Low Birth Weight (<2500 grams),"28,460","482,989",58.9,58.9,,,,,,
2014,_STATEWIDE,9,Low Birth Weight (<2500 grams),"28,593","494,394",57.8,57.8,,,,,,
2015,_STATEWIDE,9,Low Birth Weight (<2500 grams),"21,512","362,650",59.3,59.3,,,,,,
2005,_STATEWIDE,14,Asthma (Age 2-17),"8,120","8,357,959",97.2,96.6,,,,,,
2006,_STATEWIDE,14,Asthma (Age 2-17),"7,870","8,325,530",94.5,94.3,,,,,,
2007,_STATEWIDE,14,Asthma (Age 2-17),"7,105","8,296,033",85.6,85.4,,,,,,
2008,_STATEWIDE,14,Asthma (Age 2-17),"7,060","8,307,805",85,84.5,,,,,,
2009,_STATEWIDE,14,Asthma (Age 2-17),"8,608","8,312,380",103.6,102.9,,,,,,
2010,_STATEWIDE,14,Asthma (Age 2-17),"7,994","8,335,724",95.9,95.1,,,,,,
2011,_STATEWIDE,14,Asthma (Age 2-17),"7,443","8,279,544",89.9,88.7,,,,,,
2012,_STATEWIDE,14,Asthma (Age 2-17),"8,309","8,200,760",101.3,99.4,,,,,,
2013,_STATEWIDE,14,Asthma (Age 2-17),"7,259","8,171,866",88.8,86.9,,,,,,
2014,_STATEWIDE,14,Asthma (Age 2-17),"7,877","8,233,868",95.7,94.8,,,,,,
2015,_STATEWIDE,14,Asthma (Age 2-17),"5,311","6,061,001",87.6,85,,,,,,
2016,_STATEWIDE,14,Asthma (Age 2-17),,,,,"6,535","8,093,799",80.7,80.3,,
2017,_STATEWIDE,14,Asthma (Age 2-17),,,,,"4,816","8,063,097",59.7,59.5,,
2018,_STATEWIDE,14,Asthma (Age 2-17),,,,,"4,295","8,004,436",53.7,53.6,,
2019,_STATEWIDE,14,Asthma (Age 2-17),,,,,"4,330","7,932,876",54.6,54.6,,
2020,_STATEWIDE,14,Asthma (Age 2-17),,,,,"1,505","7,867,082",19.1,19.2,,
2005,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,446","6,339,207",22.8,22.2,,,,,,
2006,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,489","6,320,202",23.6,22.9,,,,,,
2007,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,458","6,288,928",23.2,22.5,,,,,,
2008,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,436","6,286,480",22.8,22.2,,,,,,
2009,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,366","6,292,454",21.7,21.1,,,,,,
2010,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,296","6,313,556",20.5,20.1,,,,,,
2011,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,370","6,252,287",21.9,21.5,,,,,,
2012,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,451","6,179,814",23.5,23.2,,,,,,
2013,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,416","6,154,908",23,22.8,,,,,,
2014,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,409","6,217,545",22.7,22.1,,,,,,
2015,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),"1,115","4,548,086",24.5,24.5,,,,,,
2016,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),,,,,"1,358","6,094,263",22.3,22.9,,
2017,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),,,,,739,"6,079,937",12.2,12.5,,
2018,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),,,,,826,"6,051,334",13.6,14.0,,
2019,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),,,,,843,"6,014,463",14.0,14.4,,
2020,_STATEWIDE,15,Diabetes Short-term Complications (Age 6-17),,,,,"1,043","5,987,134",17.4,17.8,,
2005,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"11,758","9,252,424",127.1,123.6,,,,,,
2006,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"11,260","9,214,327",122.2,119,,,,,,
2007,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"9,893","9,187,043",107.7,104.5,,,,,,
2008,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"7,581","9,204,176",82.4,79.7,,,,,,
2009,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"7,128","9,203,032",77.5,75.1,,,,,,
2010,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"4,966","9,221,974",53.8,52.3,,,,,,
2011,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"5,416","9,168,119",59.1,57.1,,,,,,
2012,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"4,553","9,082,980",50.1,48.3,,,,,,
2013,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"5,247","9,049,503",58,55.9,,,,,,
2014,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"3,428","9,124,761",37.6,36.2,,,,,,
2015,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),"3,491","6,718,265",52,49.8,,,,,,
2016,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),,,,,"3,553","8,964,200",39.6,38.3,,
2017,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),,,,,"3,159","8,926,716",35.4,34.3,,
2018,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),,,,,"2,708","8,853,222",30.6,29.8,,
2019,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),,,,,"2,647","8,762,576",30.2,29.6,,
2020,_STATEWIDE,16,Gastroenteritis (Age 3 months-17 years),,,,,"1,132","8,675,715",13.0,12.9,,
2005,_STATEWIDE,17,Perforated Appendix (Age 1-17),"4,181","12,521",333.9,328.6,,,,,,
