Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2005,Alameda,1,Diabetes Short-term Complications,538,1102068,48.8,47.3,,,,,,
2006,Alameda,1,Diabetes Short-term Complications,479,1106823,43.3,42,,,,,,
2007,Alameda,1,Diabetes Short-term Complications,475,1117973,42.5,41.3,,,,,,
2008,Alameda,1,Diabetes Short-term Complications,531,1136417,46.7,45.5,,,,,,
2009,Alameda,1,Diabetes Short-term Complications,586,1155287,50.7,49.4,,,,,,
2010,Alameda,1,Diabetes Short-term Complications,614,1169910,52.5,51.3,,,,,,
2011,Alameda,1,Diabetes Short-term Complications,607,1186810,51.1,50.1,,,,,,
2012,Alameda,1,Diabetes Short-term Complications,598,1173980,50.9,50.9,,,,,,
2013,Alameda,1,Diabetes Short-term Complications,612,1197759,51.1,51.2,,,,,,
2014,Alameda,1,Diabetes Short-term Complications,601,1192027,50.4,50.2,,,,,,
2015,Alameda,1,Diabetes Short-term Complications,454,923607,49.2,49.9,,,,,,
2016,Alameda,1,Diabetes Short-term Complications,,,,,442,1304840,33.9,40.91033768,,
2017,Alameda,1,Diabetes Short-term Complications,,,,,447,1314687,34.0,41.17313988,,
2018,Alameda,1,Diabetes Short-term Complications,,,,,644,1323933,48.6,59.06527207,,
2019,Alameda,1,Diabetes Short-term Complications,,,,,630,1329186,47.4,57.71267222,,
2020,Alameda,1,Diabetes Short-term Complications,,,,,627,1327352,47.2,57.71291993,,
2005,Alameda,2,Perforated Appendix,273,1080,25.3,27.6,,,,,,
2006,Alameda,2,Perforated Appendix,318,1224,26.0,27.6,,,,,,
2007,Alameda,2,Perforated Appendix,264,1207,21.9,23.0,,,,,,
2008,Alameda,2,Perforated Appendix,241,1105,21.8,23.0,,,,,,
2009,Alameda,2,Perforated Appendix,259,1102,23.5,24.6,,,,,,
2010,Alameda,2,Perforated Appendix,294,1144,25.7,26.6,,,,,,
2011,Alameda,2,Perforated Appendix,322,1177,27.4,28.4,,,,,,
2012,Alameda,2,Perforated Appendix,297,1129,26.3,27.1,,,,,,
2013,Alameda,2,Perforated Appendix,307,1043,29.4,30.3,,,,,,
2014,Alameda,2,Perforated Appendix,282,873,32.3,33.2,,,,,,
2015,Alameda,2,Perforated Appendix,205,597,34.3,34.2,,,,,,
2005,Alameda,3,Diabetes Long-term Complications,1220,1102068,110.7,123.3,,,,,,
2006,Alameda,3,Diabetes Long-term Complications,1188,1106823,107.3,118.8,,,,,,
2007,Alameda,3,Diabetes Long-term Complications,1126,1117973,100.7,110.8,,,,,,
2008,Alameda,3,Diabetes Long-term Complications,1162,1136417,102.3,112.0,,,,,,
2009,Alameda,3,Diabetes Long-term Complications,1079,1155287,93.4,101.6,,,,,,
2010,Alameda,3,Diabetes Long-term Complications,1146,1169910,98.0,105.7,,,,,,
2011,Alameda,3,Diabetes Long-term Complications,1091,1186810,91.9,98.4,,,,,,
2012,Alameda,3,Diabetes Long-term Complications,1104,1173980,94.0,97.5,,,,,,
2013,Alameda,3,Diabetes Long-term Complications,990,1197759,82.7,85.2,,,,,,
2014,Alameda,3,Diabetes Long-term Complications,968,1192027,81.2,84.1,,,,,,
2015,Alameda,3,Diabetes Long-term Complications,687,923607,74.4,75.1,,,,,,
2016,Alameda,3,Diabetes Long-term Complications,,,,,697,1304840,53.4,72.68329449,,
2017,Alameda,3,Diabetes Long-term Complications,,,,,909,1314687,69.1,93.56866079,,
2018,Alameda,3,Diabetes Long-term Complications,,,,,793,1323933,59.9,80.5745755,,
2019,Alameda,3,Diabetes Long-term Complications,,,,,820,1329186,61.7,82.55439539,,
2020,Alameda,3,Diabetes Long-term Complications,,,,,718,1327352,54.1,71.71879638,,
2005,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2436,623323,390.8,430.6,,,,,,
2006,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2304,629884,365.8,402.1,,,,,,
2007,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2430,638922,380.3,415.2,,,,,,
2008,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2694,650883,413.9,449.8,,,,,,
2009,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2534,665072,381.0,411.9,,,,,,
2010,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2703,679206,398.0,428.1,,,,,,
2011,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2487,693793,358.5,383.0,,,,,,
2012,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2239,709160,315.7,335.6,,,,,,
2013,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2008,723575,277.5,292.4,,,,,,
2014,Alameda,5,COPD or Asthma in Older Adults (Age 40+),2019,721792,279.7,296.5,,,,,,
2015,Alameda,5,COPD or Asthma in Older Adults (Age 40+),1500,567077,264.5,275.0,,,,,,
2016,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,1746,759150,230.0,316.9707899,,
2017,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,1834,766219,239.4,326.6726047,,
