X,Y,OBJECTID,SITEID,SITENAME,AGENCY,OBSERVATIONTYPE,LATDD,LONGDD,HORIZONTALDATUM,TOTALDEPTH,CASEDDEPTH,COMMENTS
-81.8419709909263,27.5974387133633,1,579770,ROMP 41 AVPK PZ MONITOR,SWFWMD,Well,27.59743361,-81.84196778,,1401,828,
-81.7376087562021,28.1686191325505,2,17652,LAKE ALFRED DEEP NR LAKE ALFRED,SWFWMD,Well,28.16861389,-81.73760556,,425,102,
-82.3994422424457,27.0447160637115,3,25999,ROMP TR 4-2 U FLDN AQ INTERFACE MONITOR,SWFWMD,Well,27.04471111,-82.39943889,,475,460,
-82.0061949126366,27.2608855700255,4,24402,AMAX 3 NR PINE LEVEL,SWFWMD,Well,27.26088055,-82.00619166,,1547,340,
-82.1810593270262,28.1276442226757,5,19391,BLACKWATER CREEK ELAPP FLDN,SWFWMD,Well,28.127639,-82.181056,,154,94,
-81.7735448480523,27.1880466720029,6,24104,ROMP 16 U FLDN AQ MONITOR,SWFWMD,Well,27.18804167,-81.77354167,,942,757,
-81.6161531327839,27.0720133143621,7,24195,ROMP 13 U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.07200833,-81.61615,,786,671,
-81.9160587810816,27.4543106187211,8,23924,ROMP 31 U FLDN AQ MONITOR,SWFWMD,Well,27.45430555,-81.91605555,,1152,460,
-82.5968090273067,28.8533109442286,9,20062,ROMP TR 21-2 U FLDN AQ CHLORIDE MONITOR,SWFWMD,Well,28.85330556,-82.59680555,,111,106,
-82.6820868163436,28.3712830422062,10,20375,CR-1 U FLDN AQ MONITOR,SWFWMD,Well,28.37127777,-82.68208334,,136,119,
-81.6643920423526,28.3136386585311,11,574272,POLK COUNTY NERUSA HH-MW1 UPPER FLDN,SWFWMD,Well,28.31363338,-81.66438886,,190,46,
-81.9242421449996,28.0844663321286,12,24727,FISH LAKE DEEP NR LAKELAND,SWFWMD,Well,28.08446111,-81.92423889,,311,265,
-82.5461367442248,27.5831578586279,13,25701,ROMP TR 8-1 U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.58315278,-82.54613333,,530,390,
-81.8023004307728,27.8116968213193,14,670285,HOMELAND DEP 9 FLDN,SWFWMD,Well,27.81169167,-81.80229722,,746,0,
-82.0985588634196,28.2453941456397,15,17545,HOWARD STREET FLDN,SWFWMD,Well,28.24538889,-82.09855556,,172,134,
-82.0234143969733,28.220144136196,16,18826,ROMP 87 U FLDN AQ MONITOR (AVPK),SWFWMD,Well,28.22013889,-82.02341111,,380,300,
-81.6225392679502,27.9035885164331,17,25343,ROMP 57 U FLDN AQ MONITOR,SWFWMD,Well,27.90358333,-81.62253611,,635,160,
-82.4030950284679,27.1597883134308,18,26019,ROMP TR 5-3 U FLDN AQ MONITOR,SWFWMD,Well,27.15978333,-82.40309167,,1125,1020,
-82.4459784072445,28.2665969130142,19,18393,PASCO 13 NR DREXEL FLDN,SWFWMD,Well,28.26659166,-82.445975,,47,43,
-81.8306115591825,28.1826413545942,20,17696,ROMP 76 U FLDN AQ MONITOR,SWFWMD,Well,28.18263611,-81.83060833,,315,264,
-81.6544531806828,28.2012552528225,21,17715,THORNHILL RANCH DEEP,SWFWMD,Well,28.20125,-81.65445,,151,108,
-82.113325506697,27.3093411399947,22,25593,EDGEVILLE 3 DEEP,SWFWMD,Well,27.30933612,-82.11332223,,600,487,
-81.9230032512434,28.0002274233899,23,24897,SANLON RANCH FLDN,SWFWMD,Well,28.00022223,-81.923,,1220,293,
-82.4009533632164,27.2710577853665,24,26070,FLORIDA CITIES TEST 1,SWFWMD,Well,27.27105278,-82.40095,,446,104,
-82.5815756894796,28.7640748047021,25,21049,HOMOSASSA 3 FLDN,SWFWMD,Well,28.76406944,-82.58157223,,99,82,
-81.6100586997113,27.5177134234263,26,24948,SMITH DEEP,SWFWMD,Well,27.51770833,-81.61005556,,849,66,
-81.8068643015766,27.3366717088407,27,24390,MARSHALL DEEP (USGS),SWFWMD,Well,27.33666667,-81.80686111,,478,137,
-81.8368948798161,27.6387134510355,28,24946,CARGILL FA-1 FLDN,SWFWMD,Well,27.63870834,-81.83689167,,918,408,
-82.1301060651557,27.193154997913,29,25878,ROMP 18 U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.19315,-82.13010278,,845,505,
-81.5806059342803,28.2594663829405,30,25144,LOUGHMAN DEEP,SWFWMD,Well,28.25946111,-81.58060278,,250,85,
-82.4793089399461,27.1939799841879,31,26035,ROMP 20 U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.193975,-82.47930556,,840,500,
-82.1775782982158,27.3148244710407,32,26216,ROMP 23 U FLDN AQ MONITOR,SWFWMD,Well,27.31481945,-82.177575,,1000,904,
-81.731225417875,28.0208385384471,33,25370,ROMP 73 U FLDN AQ MONITOR,SWFWMD,Well,28.02083333,-81.73122222,,389,161,
-81.7422642791437,27.0411716322551,34,24215,ROMP 12 U FLDN AQ MONITOR (NOCA),SWFWMD,Well,27.04116666,-81.74226111,,700,505,
-82.5102811735535,27.348893916646,35,25656,ROMP TR SA-3 UPPER FLDN,SWFWMD,Well,27.34888889,-82.51027778,,1218,1096,
-82.0399532931655,28.3575247260231,36,17590,ROMP 89 U FLDN AQ MONITOR,SWFWMD,Well,28.35751944,-82.03995,,143,20,
-82.0070338114065,27.3664633770967,37,24008,ROMP 25 U FLDN AQ MONITOR,SWFWMD,Well,27.36645834,-82.00703056,,1785,960,
-82.3370700706761,28.9555554128513,38,23595,ROMP 116 U FLDN AQ MONITOR,SWFWMD,Well,28.95555,-82.33706667,,55,39,
-82.2633613687069,28.6447773448602,39,23616,CE 25 BARNHART FLDN,SWFWMD,Well,28.644772,-82.263358,,140,0,
-81.510759121005,27.7565271496115,40,23840,CL-2 U FLDN AQ MONITOR,SWFWMD,Well,27.756522,-81.510756,,442,412,
-81.5603091359709,27.791699156629,41,23845,ROMP 55 U FLDN AQ MONITOR,SWFWMD,Well,27.791694,-81.560306,,1200,212,
-81.5063061222674,27.8140551634413,42,23860,RIDGE WRAP VC-10A FLDN,SWFWMD,Well,27.81405,-81.506303,,263,245,
-81.5732361398004,27.7625661491035,43,23863,CL-3 U FLDN AQ (SWNN-OCAL) MONITOR,SWFWMD,Well,27.762561,-81.573233,,440,228,
-81.6560364848134,27.2091244589078,44,24175,ROMP 15 U FLDN AQ MONITOR MOD,SWFWMD,Well,27.20911945,-81.65603334,,1360,654,
-82.0163116494877,29.1838582573994,45,713731,CE 76 FLDN,SWFWMD,Well,29.18385278,-82.01630833,,153,124,
-82.3320561485897,28.0757301988572,46,433083,FL-MB-750 FLDN (AT ELOIAN),SWFWMD,Well,28.07572499,-82.33205278,,48,19,
-82.3357283082556,28.076024677886,47,433087,FL-MB-550 FLDN (AT IDLEWOOD),SWFWMD,Well,28.07601947,-82.33572494,,70,43,
-82.3949033556968,27.155760537896,48,25917,ROMP TR 5-2 U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.15575556,-82.3949,,560,510,
-81.8550421157777,27.9318385170594,49,739109,LAKE HANCOCK S U FLDN AQ MONITOR,SWFWMD,Well,27.93183333,-81.85503889,,210,158,
-82.2052811262312,28.4816441965081,50,23545,WR-2 U FLDN AQ MONITOR,SWFWMD,Well,28.48163889,-82.20527778,,130,80,
-82.5456700774618,27.3469494721105,51,25646,SARASOTA 11th STREET DEEP,SWFWMD,Well,27.34694445,-82.54566667,,479,43,
-82.2960533820667,28.7523413690034,52,23627,FERRIS PACKING COMPANY FLDN,SWFWMD,Well,28.752336,-82.29605,,400,200,
-81.9501699244701,27.9580329685788,53,18041,ROMP 60X U FLDN AQ MONITOR,SWFWMD,Well,27.95802778,-81.95016667,,806,212,
-82.3054367201656,28.8068692714522,54,749149,FORT COOPER LAKE U FLDN AQ MONITOR,SWFWMD,Well,28.80686389,-82.30543333,,62,40,
-82.5766974423939,28.1427552162785,55,19532,ST PETE CALM 33A FLDN,SWFWMD,Well,28.14275,-82.576694,,359,81,
-82.0848060875428,28.4382997450507,56,717345,ROMP 100 U FLDN AQ MONITOR,SWFWMD,Well,28.43829444,-82.08480278,,215,75,
-82.148058899736,28.8569498451398,57,670350,BIG JONES CREEK U FLDN AQ MONITOR,SWFWMD,Well,28.856944,-82.1480556,,48,20,
-82.1316977818484,28.8429776173054,58,670311,LITTLE JONES CREEK U FLDN AQ MONITOR,SWFWMD,Well,28.84297222,-82.13169444,,48,24,
-82.2528033759895,28.9349443035167,59,751429,GUM SPRINGS U FLDN AQ MONITOR,SWFWMD,Well,28.93493889,-82.2528,,50,25,
-81.864142227944,27.8839491716044,60,24838,ROMP 59 U FLDN AQ INTERFACE MONITOR,SWFWMD,Well,27.883944,-81.864139,,1048,203,
-82.3415311205859,27.1671438767207,61,25900,ROMP 19 U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.16713889,-82.34152778,,420,410,
-82.2544449829293,27.1727827685633,62,25907,ROMP 19X U FLDN AQ MONITOR (SWNN),SWFWMD,Well,27.17277778,-82.25444166,,420,410,
-82.4513256022868,27.136202197339,63,26023,ROMP TR 5-1 U FLDN AQ SULFATE MONITOR,SWFWMD,Well,27.13619722,-82.45132223,,510,492,
-82.4611006278029,28.0528496425136,64,670753,115th STREET FLDN,SWFWMD,Well,28.05284444,-82.46109722,,45,30,
-81.8872560098679,27.7955745931453,65,657524,ROMP 45.5 AVPK PZ MONITOR,SWFWMD,Well,27.79556944,-81.88725278,,915,555,
-82.2570644378916,27.4577995047642,66,26171,ROMP 33 U FLDN AQ MONITOR,SWFWMD,Well,27.45779445,-82.25706111,,750,404,
-81.5980391484868,27.8243881636432,67,23890,ROMP 44 U FLDN AQ MONITOR,SWFWMD,Well,27.824383,-81.598036,,402,232,
-82.3268116953482,28.0786996326889,68,433088,FL-MB-2200 FLDN (AT ROCKGLEN),SWFWMD,Well,28.07869443,-82.32680833,,41,19,
-82.1079753062273,28.1391992269897,69,19363,CONE RANCH CM-4D U FLDN AQ MONITOR,SWFWMD,Well,28.139194,-82.107972,,175,100,
-82.0639532723178,27.4708411754143,70,25567,ROMP 32 U FLDN AQ MONITOR (AVPK),SWFWMD,Well,27.47083611,-82.06395,,1215,909,
-82.2180449719486,26.9442604877029,71,25074,ROMP TR 3-1 U FLDN AQ MONITOR,SWFWMD,Well,26.94425555,-82.21804167,,620,600,
-81.4801058882266,27.6044745621563,72,25532,ROMP 43XX U FLDN AQ MONITOR,SWFWMD,Well,27.60446945,-81.48010278,,1363,409,
-82.2396977664837,27.4774495050757,73,26136,KIBLER DEEP,SWFWMD,Well,27.47744444,-82.23969444,,1123,208,
-81.5294751258299,27.7443861457364,74,25339,COLEY DEEP,SWFWMD,Well,27.744381,-81.529472,,319,208,
-82.5159474262609,28.1774302255404,75,19686,ST PETE 42 DEEP,SWFWMD,Well,28.177425,-82.515944,,398,70,
-82.5070974234555,28.1823192276642,76,19687,ST PETE 45 DEEP,SWFWMD,Well,28.182314,-82.507094,,707,59,
-82.2952813737723,28.5185333132499,77,23575,BROOKSVILLE EAST FLDN,SWFWMD,Well,28.518528,-82.295278,,137,101,
-81.3395919409931,27.2666578129441,78,25411,ROMP 28X U FLDN AQ MONITOR,SWFWMD,Well,27.26665278,-81.33958889,,1385,585,
-82.2567561503079,28.8211137207762,79,670313,LAKE TSALA APOPKA (FLYING EAGLE) U FLDN AQ MONITOR,SWFWMD,Well,28.82110833,-82.25675278,,62,42,
-82.5318922996573,27.621699532533,80,25838,FLORIDA POWER FLDN AT PINEY POINT,SWFWMD,Well,27.62169444,-82.53188889,,950,104,
-81.8111976561567,27.8433940522808,81,670300,LW4P U FLDN AQ MONITOR,SWFWMD,Well,27.84338889,-81.81119444,,310,151,
-81.8054754330381,27.8658385031204,82,670305,LW3P U FLDN AQ MONITOR,SWFWMD,Well,27.86583333,-81.80547222,,320,170,
-82.4327784339169,29.1120221178356,83,750199,ROMP 128 U FLDN AQ MONITOR,SWFWMD,Well,29.11201667,-82.432775,,87,60,
-81.8120865441528,27.8933468413391,84,25162,LW1P U FLDN AQ MONITOR,SWFWMD,Well,27.89334167,-81.81208333,,235,95,
-81.7229698610282,28.092102452749,85,25227,LAKE ALFRED DEEP AT LAKE ALFRED,SWFWMD,Well,28.09209723,-81.72296667,,555,282,
-82.4901924181673,28.1837242279212,86,19678,HARRY MATTS DEEP,SWFWMD,Well,28.183719,-82.490189,,60,59,
-81.7861004284859,27.7643301464068,87,24804,ROMP 45 U FLDN AQ MONITOR (AVPK),SWFWMD,Well,27.764325,-81.78609723,,757,680,
-81.9554504789008,28.0715052156224,88,24916,ROMP 70 U FLDN AQ MONITOR,SWFWMD,Well,28.0715,-81.95544722,,645,185,
-82.5040314297186,28.3848382756447,89,20531,CROSS BAR 1W WOLFE U FLDN AQ (CB-1W),SWFWMD,Well,28.384833,-82.504028,,777,112,
