VolcanoID,V_Name,Country,Region,Subregion,Latitude,Longitude,PEI,H_active,VEI_Holoce,hazard,class,risk
210010,West Eifel Volcanic Field,Germany,Mediterranean and W Asia,Western Europe,50.170000000000000,6.850000000000000,6,0,Unknown VEI,NULL,U-HR,NULL
210020,Cha?ne des Puys,France,Mediterranean and W Asia,Western Europe,45.774999999999900,2.970000000000000,7,0,Unknown VEI,NULL,U-HR,NULL
210030,Olot Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,42.170000000000000,2.530000000000000,5,0,No confirmed eruptions,NULL,U-NHHR,NULL
210040,Calatrava Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,38.869999999999900,-4.020000000000000,6,0,Unknown VEI,NULL,U-HR,NULL
211001,Larderello,Italy,Mediterranean and W Asia,Italy,43.250000000000000,10.869999999999900,4,0,3,NULL,U-HR,NULL
211003,Vulsini,Italy,Mediterranean and W Asia,Italy,42.600000000000000,11.930000000000000,5,0,Unknown VEI,NULL,U-HR,NULL
211004,Alban Hills,Italy,Mediterranean and W Asia,Italy,41.729999999999900,12.699999999999900,7,0,No confirmed eruptions,NULL,U-NHHR,NULL
211010,Campi Flegrei,Italy,Mediterranean and W Asia,Italy,40.826999999999900,14.138999999999900,7,1,5,3,NULL,3
211020,Vesuvius,Italy,Mediterranean and W Asia,Italy,40.820999999999900,14.426000000000000,7,1,5,3,NULL,3
211030,Ischia,Italy,Mediterranean and W Asia,Italy,40.729999999999900,13.897000000000000,5,0,3,NULL,U-HR,NULL
211031,Palinuro,Italy,Mediterranean and W Asia,Italy,39.479999999999900,14.830000000000000,2,0,Unknown VEI,NULL,U-HR,NULL
211040,Stromboli,Italy,Mediterranean and W Asia,Italy,38.789000000000000,15.212999999999900,3,1,3,1,NULL,1
211041,Panarea,Italy,Mediterranean and W Asia,Italy,38.630000000000000,15.070000000000000,3,0,No confirmed eruptions,NULL,U-NHHR,NULL
211042,Lipari,Italy,Mediterranean and W Asia,Italy,38.479999999999900,14.949999999999900,5,0,Unknown VEI,NULL,U-HR,NULL
211050,Vulcano,Italy,Mediterranean and W Asia,Italy,38.404000000000000,14.962000000000000,4,1,4,3,NULL,3
211060,Etna,Italy,Mediterranean and W Asia,Italy,37.734000000000000,15.004000000000000,5,1,5,2,NULL,2
211070,Campi Flegrei Mar Sicilia,Italy,Mediterranean and W Asia,Italy,37.100000000000000,12.699999999999900,6,1,3,1,NULL,2
211071,Pantelleria,Italy,Mediterranean and W Asia,Italy,36.770000000000000,12.020000000000000,4,1,1,NULL,U-HHR,NULL
212020,Methana,Greece,Mediterranean and W Asia,Greece,37.615000000000000,23.335999999999900,4,0,3,NULL,U-HR,NULL
212030,M?los,Greece,Mediterranean and W Asia,Greece,36.698999999999900,24.439000000000000,3,0,1,NULL,U-HR,NULL
212040,Santorini,Greece,Mediterranean and W Asia,Greece,36.404000000000000,25.396000000000000,4,1,7,3,NULL,3
212050,Nisyros,Greece,Mediterranean and W Asia,Greece,36.585999999999900,27.160000000000000,2,1,2,2,NULL,1
212051,Yali,Greece,Mediterranean and W Asia,Greece,36.670999999999900,27.140000000000000,2,0,No confirmed eruptions,NULL,U-NHHR,NULL
213000,Kula,Turkey,Mediterranean and W Asia,Turkey,38.579999999999900,28.520000000000000,5,0,No confirmed eruptions,NULL,U-NHHR,NULL
213001,Karapinar Field,Turkey,Mediterranean and W Asia,Turkey,37.670000000000000,33.649999999999900,5,0,No confirmed eruptions,NULL,U-NHHR,NULL
213002,Hasan Dagi,Turkey,Mediterranean and W Asia,Turkey,38.130000000000000,34.170000000000000,4,0,No confirmed eruptions,NULL,U-NHHR,NULL
213003,G?ll? Dag,Turkey,Mediterranean and W Asia,Turkey,38.250000000000000,34.570000000000000,4,0,No confirmed eruptions,NULL,U-NHHR,NULL
213004,Acig?l-Nevsehir,Turkey,Mediterranean and W Asia,Turkey,38.570000000000000,34.520000000000000,6,0,Unknown VEI,NULL,U-HR,NULL
