APN,PROJECT NUMBER,NAME,DEVELOPMENT STAGE,CONSTRUCTION TYPE,SITE ADDRESS,SITE  COUNCIL DISTRICT,SITE #,SITE COMMUNITY,SITE UNITS,PROJECT TOTAL UNITS,HOUSING TYPE,SUPPORTIVE HOUSING,DATE FUNDED,LAHD FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,IN-SERVICE DATE,DEVELOPER,MANAGEMENT COMPANY,CONTACT PHONE,PHOTO,JOBS,PROJECT SUMMARY URL,CONTRACT NUMBERS,DATE STAMP,SITE LONGITUDE,SITE LATITUDE,GPS_COORDS ON MAP
2629019017,40052,PALM VILLAGE SR,In-Service,NEW CONSTRUCTION,"9034 N LAUREL CANYON BLVD  Sun Valley, CA 91352",6,1,SUN VALLEY,60,60,SENIORS,No,10/02/2006,1772385,8934200,0,10706585,2008,Gubb and Barshay,LTSC COMMUNITY DEVELOPMENT CORPORATION,(213) 473-1689,click here (http://hcidapp.lacity.org/mpphotos/040052/Photo/Website/CD_6_-_Palm_Village_Apts[1].png),65,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=040052&LutSiteCD=1),C-110660,2/7/2022,-118.40457,34.23397,POINT (-118.40457 34.23397)
6071001013,06-117222,WINDWARD APTS (A/B) (SITE 14),In-Service,REHAB,"636 E 108TH ST 1-4  Los Angeles, CA 90059",8,14,CENTURY PALMS/COVE,8,232,FAMILY,No,04/01/2006,0,7438473,4641342,12079815,2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=14),,2/7/2022,-118.26374,33.93817,POINT (-118.26374 33.93817)
5545007097,11-117795,THE GORDON,In-Service,NEW CONSTRUCTION,"1553 N GORDON ST  HOLLYWOOD, CA 90028",13,1,HOLLYWOOD,35,35,FAMILY,No,03/15/2012,1650000,7777676,0,9427676,2013,"AMERICAN COMMUNITIES, LLC",THE JOHN STEWART COMPANY,(213) 787-2722,click here (http://hcidapp.lacity.org/mpphotos/11-117795/Photo/Website/11-117795.jpg),76,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-117795&LutSiteCD=1),C-120226,2/7/2022,-118.31978,34.09966,POINT (-118.31978 34.09966)
5050011005,05-117193,LEEWARD APTS. (SITE 7),In-Service,REHAB,"2809 S WEST BLVD  Los Angeles, CA 90016",10,7,CRENSHAW DISTRICT,0,257,FAMILY,No,05/02/2005,0,7103994,10208936,17312930,2006,"HAMPSTEAD PARTNERS, INC.","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117193&LutSiteCD=7),,2/7/2022,-118.34182,34.03071,POINT (-118.34182 34.03071)
5114014020,14-121652,FLORENCE MILLS (SITE 5),In-Service,NEW CONSTRUCTION,"1037 E MARTIN LUTHER KING BLVD  LOS ANGELES, CA 90011",9,5,CENTRAL,0,74,SPECIAL NEEDS,Yes,12/17/2018,9389115.63,36081992,0,45471107.63,2021,Hollywood Community Housing Corporation,BARKER MANAGEMENT INCORPORATED,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),226,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121652&LutSiteCD=5),C-129358,2/7/2022,-118.25748,34.01115,POINT (-118.25748 34.01115)
4012018025,60013,MORGAN PLACE SENIOR APTS.,In-Service,NEW CONSTRUCTION,"7305 S CRENSHAW BLVD  Los Angeles, CA 90043",8,1,HYDE PARK,55,55,SENIORS,No,04/02/2007,5281147,8428737,0,13709884,2009,Abode Communities previously known as LA COMMUNITY DESIGN CENTER,ABODE COMMUNITIES,(213) 225-2772,click here (http://hcidapp.lacity.org/mpphotos/060013/Photo/Website/CD%208%20-%20Morgan%20Place%20Sr.%20Apts..jpg),110,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060013&LutSiteCD=1),C-111486,2/7/2022,-118.33108,33.97348,POINT (-118.33108 33.97348)
5153030026,50036,WITMER HEIGHTS,In-Service,N/A,"116 S WITMER ST  Los Angeles, CA 90026",13,1,TEMPLE-BEAUDRY,49,49,FAMILY,No,01/19/2006,2846000,10865989,0,13711989,2008,"AMERICAN COMMUNITIES, LLC",THE JOHN STEWART COMPANY,(213) 482-9122,click here (http://hcidapp.lacity.org/mpphotos/050036/Photo/Website/CD%2013%20-%20Witmer%20Heights.jpg),95,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=050036&LutSiteCD=1),C-109452,2/7/2022,-118.26086,34.06173,POINT (-118.26086 34.06173)
5127029049,18-125459,LA PRENSA LIBRE- 9% (FKA WASHINGTON/ LA),Development,NEW CONSTRUCTION,"200 E WASHINGTON BLVD  Los Angeles, CA 90015",9,1,UNIVERSITY PARK,42,42,FAMILY,No,11/12/2020,1651192,29619133,0,31270325,Development,Coalition for Responsible Community Development (CRCD),"FPI MANAGEMENT, INC.",(916) 357-5312 x434,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125459&LutSiteCD=1),C-137346,2/7/2022,-118.26339,34.03028,POINT (-118.26339 34.03028)
5037025018,14-121612,KING 1101,In-Service,NEW CONSTRUCTION,"1107 W MARTIN LUTHER KING BLVD  Los Angeles, CA 90037",8,1,EXPOSITION PARK,26,26,SPECIAL NEEDS,Yes,07/20/2016,4130000,12303276,0,16433276,2018,"Clifford Beers Housing, Inc.","LEVINE MANAGEMENT GROUP, INC",(310) 358-3489,click here (http://hcidapp.lacity.org/mpphotos/14-121612/Photo/Website/King%201101%20Apts..jpg),85,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121612&LutSiteCD=1),C-127889,2/7/2022,-118.29449,34.01106,POINT (-118.29449 34.01106)
5119011019,13-120909,ROBERTA STEPHENS VILLAS I & II (RECAP) (SITE 2),In-Service,ACQUISITION + REHAB,"1113 E 27TH ST  Los Angeles, CA 90011",9,2,CENTRAL,0,40,SENIORS,No,12/22/2014,0,3360040,1995093,5355133,2016,"CP Preservation Housing, LLC",CONCERNED CITIZENS OF SOUTH CENTRAL LOS ANGELES,(323) 846-2500,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),32,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=13-120909&LutSiteCD=2),C-83407,2/7/2022,-118.25507,34.01788,POINT (-118.25507 34.01788)
5110025032,10-117556,SUNRISE APARTMENTS,In-Service,NEW CONSTRUCTION,"5125 S MAIN ST 1-46  Los Angeles, CA 90037",9,1,SOUTH PARK,46,46,SENIORS,No,11/29/2010,2202568,11040406,0,13242974,2012,"AMCAL Multi-Housing, Inc(App)",THE JOHN STEWART COMPANY,(213) 787-2710,click here (http://hcidapp.lacity.org/mpphotos/10-117556/Photo/Website/10-117556.JPG),91,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=10-117556&LutSiteCD=1),C-118282,2/7/2022,-118.27429,33.99607,POINT (-118.27429 33.99607)
5154029017,19-126530,THE LAKE HOUSE (FKA WESTLAKE HOUSING),Development,NEW CONSTRUCTION,"437 S WESTLAKE AVE  Los Angeles, CA 90057",1,1,WESTLAKE,32,63,SPECIAL NEEDS,Yes,06/09/2021,6510000,31819953,0,38329953,Development,Community Development Partners,FPI MANAGEMENT,(916) 850-4402,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),316,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-126530&LutSiteCD=1),C-138417,2/7/2022,-118.27373,34.05998,POINT (-118.27373 34.05998)
5147024024,18-125043,WEINGART TOWER A-134 (FKAWEINGART TOWER HHH PSH1A),Development,NEW CONSTRUCTION,555 S CROCKER ST CA 90013,14,1,WHOLESALE DISTRICT,134,134,SPECIAL NEEDS,Yes,09/02/2021,0,23899037,52045109,75944146,Development,Chelsea Investment Corporation,"CIC MANAGEMENT, INC. (ASSET MANAGEMENT)",(760) 456-6000,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),703,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125043&LutSiteCD=1),,2/7/2022,-118.244,34.04229,POINT (-118.244 34.04229)
5128015021,09-117212,THE CROSSING ON 29TH ST.,In-Service,NEW CONSTRUCTION,"814 E 29TH ST  Los Angeles, CA 90011",9,1,CENTRAL,34,34,FAMILY,No,08/30/2010,3262880,17610140,0,20873020,2012,"UHC LA 29, L.P.",HYDER PROPERTY MANAGEMENT PROFESSIONALS,(760) 591-9737,click here (http://hcidapp.lacity.org/mpphotos/09-117212/Photo/Website/crossingat29thgo12612_031-.png),121,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=09-117212&LutSiteCD=1),C-117803,2/7/2022,-118.26081,34.01762,POINT (-118.26081 34.01762)
5154026023,111,HISTORIC BARBIZON HOTEL APTS.,In-Service,REHAB,"1927 W 6TH ST 1-51  Los Angeles, CA 90057",1,1,WESTLAKE,51,51,FAMILY,No,06/27/2007,5009394,13935814,0,18945208,2007,"NEIGHBORHOOD EFFORT,",THE EBERLY COMPANY,(323) 937-6468,click here (http://hcidapp.lacity.org/mpphotos/000111/Photo/Website/CD_1_-_Barbizon_Hotel.png),47,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=000111&LutSiteCD=1),C-101408,2/7/2022,-118.27323,34.05898,POINT (-118.27323 34.05898)
5131020009,05-117217,LEXINGTON APARTMENTS A/B (SITE 11),In-Service,REHAB,"1145 E 24TH ST  Los Angeles, CA 90011",9,11,CENTRAL,0,251,FAMILY,No,12/28/2005,0,6771719,10247566,17019285,2006,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117217&LutSiteCD=11),,2/7/2022,-118.25561,34.02133,POINT (-118.25561 34.02133)
5547016909,18-125463,HOLLYWOOD ARTS COLLECTIVE,Development,NEW CONSTRUCTION,"1630 N SCHRADER BLVD  HOLLYWOOD, CA 90028",13,1,HOLLYWOOD,152,152,FAMILY,No,12/01/2020,0,88637821,0,88637821,Development,"Thomas Safran & Associates Development, Inc.","THOMAS SAFRAN & ASSOCIATES, INC.",(310) 820-4888,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125463&LutSiteCD=1),C-137458,2/7/2022,-118.33236,34.10084,POINT (-118.33236 34.10084)
5072034028,14-121637,ARLINGTON SQUARE,In-Service,NEW CONSTRUCTION,"3101 W VENICE BLVD  Los Angeles, CA 90019",10,1,VICTORIA PARK,48,48,SPECIAL NEEDS,Yes,12/01/2015,3877600,14111118,0,17988718,2017,A COMMUNITY OF FRIENDS,BARKER MANAGEMENT INC.,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/14-121637/Photo/Website/150_2872.png),143,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121637&LutSiteCD=1),C-126699,2/7/2022,-118.31795,34.04375,POINT (-118.31795 34.04375)
7417010900,16-123033,VISTA DEL MAR,In-Service,NEW CONSTRUCTION,"1116 W D ST  Wilmington, CA 90744",15,1,WILMINGTON,88,88,FAMILY,No,08/29/2016,0,18205813,18068000,36273813,2018,Abode Communities,ABODE COMMUNITIES,(213) 629-2702,click here (http://hcidapp.lacity.org/mpphotos/16-123033/Photo/Website/Lot%208.JPG),405,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=16-123033&LutSiteCD=1),,2/7/2022,-118.27463,33.77336,POINT (-118.27463 33.77336)
5131026028,70018,ADAMS AND CENTRAL MIX-USE,In-Service,NEW CONSTRUCTION,"1011 E ADAMS BLVD 1-80  Los Angeles, CA 90011",9,1,CENTRAL,80,80,FAMILY,No,06/17/2008,5788800,25260320,0,31049120,2010,"META HOUSING CORPORATION,",META HOUSING CORPORATION,(310) 575-3543,click here (http://hcidapp.lacity.org/mpphotos/070018/Photo/Website/CD%209%20-%20Adams%20&%20Central%20Mixed.jpg),281,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=070018&LutSiteCD=1),C-113833,2/7/2022,-118.25496,34.0193,POINT (-118.25496 34.0193)
5071025901,19-126544,WASHINGTON ARTS COLLECTIVE,Development,NEW CONSTRUCTION,"4615 W WASHINGTON BLVD  Los Angeles, CA 90016",10,1,ST ELMO VILLAGE,33,56,FAMILY,Yes,10/25/2021,0,0,0,0,Development,"WAC, L.P.",THE JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),316,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-126544&LutSiteCD=1),,2/7/2022,-118.34029,34.04001,POINT (-118.34029 34.04001)
5067008008,06-117222,WINDWARD APTS (A/B) (SITE 4),In-Service,REHAB,"4817 W SATURN ST  Los Angeles, CA 90019",10,4,ST ELMO VILLAGE,6,232,FAMILY,No,04/01/2006,0,7438473,4641342,12079815,2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=4),,2/7/2022,-118.34217,34.04429,POINT (-118.34217 34.04429)
