,OBJECTID,PANTHERID,SEX,AGE,LOCATION,CAUSE,YEAR,Date,last_edited_date,CauseLong,PANTHERID2,MORTID,AGE_UNITS,month,lon,lat,year
0,1740,UCFP422,Female,4,SR29 Chapparal Slough,Vehicular trauma,2022,2022-04-11 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01195,Years,4,-81.39091451671884,26.837876023625128,2022
1,1741,UCFP421,Female,1.5,CR833 approximately 1.8km north of the Big Cypress Seminole Indian Reservation,Vehicular trauma,2022,2022-03-27 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01194,Years,3,-81.01319329197766,26.360947257276244,2022
2,1742,UCFP420,Male,1.5,"On SR82, 1.2km east of junction with Corkscrew Road.  Panther was hit in east bound lanes.",Vehicular trauma,2022,2022-02-28 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01193,Years,2,-81.50641697103636,26.5037869849069,2022
3,1743,UCFP419,Female,1.5,"Flaghole Rd, 3.9 km ( 2.4 mi)  S of US 27, WSW of Clewiston.",Vehicular trauma,2022,2022-02-18 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01192,Years,2,-81.0640178633055,26.71831756471587,2022
4,1744,UCFP418,Male,5,"CR832, 260m west of Collins Slough Rd.  Just east of Keri Rd. curve.",Vehicular trauma,2022,2022-02-08 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01191,Years,2,-81.22810836776101,26.6054578886483,2022
5,1745,FP261,Female,2.5,"Carcass was on right shoulder of southbound lanes, 290m west of the Toll Booth for Alligator Alley.   Near MM100",Vehicular trauma,2022,2022-01-31 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01190,Years,1,-81.67159288469688,26.15611800435949,2022
6,1746,UCFP417,Female,3,"Carson Rd, just north of Roy Way in Immokalee",Vehicular trauma,2022,2022-01-28 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01189,Years,1,-81.45030033902984,26.442017423285552,2022
7,1747,UCFP416,Male,2,Golden Gate Blvd.  Between 20th and 22nd St SE (1.25 mi west of Everglades Blvd),Vehicular trauma,2022,2022-01-15 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01188,Months,1,-81.56444506525389,26.230302466614937,2022
8,1748,UCFP415,Male,3,"US27, 1.6 miles SE of SR29 junction",Vehicular trauma,2022,2022-01-09 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01187,Years,1,-81.2878184827879,26.91569782070878,2022
9,1749,UCFP414,Male,2.5,CR951 in southbound lanes.  Located 2km north of intersection with Rattlesnake Hammock Rd.,Vehicular trauma,2022,2022-01-03 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01186,Years,1,-81.68708640418487,26.1280360761646,2022
10,1750,K373,Female,9,OK Slough.  On Keri Rd (CR832) at junction of North Loop trail entrance.,Vehicular trauma,2021,2021-11-16 05:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01185,Years,11,-81.37676123961731,26.598921025598738,2021
11,1751,UCFP413,Female,4,side of road - one side woods / other housing complex,Vehicular trauma,2021,2021-10-30 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01184,Months,10,-81.71034714299664,26.452690084034742,2021
12,1752,UCFP412,Male,3,"SR80, 1/2 mi west of Townsend Canal Rd (NW corner of future C-43 reservoir).",Vehicular trauma,2021,2021-10-16 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01183,Years,10,-81.56948174747374,26.709406574208394,2021
13,1753,UCFP411,Female,11,Daniels Parkway 1.8km NE of Gateway Blvd,Vehicular trauma,2021,2021-09-29 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01181,Years,9,-81.73441226834808,26.563459832408387,2021
14,1754,UCFP410,Male,3,SR29.  1 mile south of I-75,Vehicular trauma,2021,2021-09-28 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01182,Years,9,-81.3448436609913,26.139889136358658,2021
15,1755,UCFP409,Male,4.5,"Turner River Road, 5.1km north of Wagon Wheel Rd",Vehicular trauma,2021,2021-09-28 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01180,Months,9,-81.26385804799797,26.040480769863997,2021
16,1756,UCFP408,Male,8,west of junction SR82 and Corkscrew Rd,Vehicular trauma,2021,2021-08-25 04:00:00+00:00,2022-05-02T15:27:17+00:00,Vehicular trauma,,MN-01178,Years,8,-81.5251579604636,26.50715929195237,2021
17,1757,UCFP407,Unknown,2.5,"Old agricultural fields east of Miller between 110-112th Av, approximately 100m east of Miller.",Unknown,2021,2021-08-15 04:00:00+00:00,2022-05-02T15:27:17+00:00,Unknown,,MN-01177,Years,8,-81.56499101277457,26.033910279368257,2021
